CMDLINE ./webparser https://www.kabum.com.br/computadores/computador-gamer
MEM 56.878906 1540186259.3257
MEM 57.394531 1540186259.4262
MEM 57.652344 1540186259.5267
MEM 58.425781 1540186259.6272
MEM 58.683594 1540186259.7276
MEM 58.941406 1540186259.8279
MEM 59.714844 1540186259.9285
MEM 59.972656 1540186260.0288
MEM 60.488281 1540186260.1292
MEM 61.003906 1540186260.2296
MEM 61.519531 1540186260.3300
MEM 61.519531 1540186260.4305
MEM 62.808594 1540186260.5308
MEM 62.808594 1540186260.6313
MEM 63.324219 1540186260.7316
MEM 63.839844 1540186260.8321
MEM 64.355469 1540186260.9324
MEM 64.871094 1540186261.0329
MEM 65.902344 1540186261.1333
MEM 65.902344 1540186261.2339
MEM 66.675781 1540186261.3344
MEM 66.675781 1540186261.4348
MEM 66.675781 1540186261.5353
MEM 66.675781 1540186261.6358
MEM 66.675781 1540186261.7363
MEM 66.675781 1540186261.8368
MEM 66.675781 1540186261.9373
MEM 66.675781 1540186262.0378
MEM 66.933594 1540186262.1382
MEM 66.933594 1540186262.2388
MEM 67.191406 1540186262.3393
MEM 67.191406 1540186262.4397
MEM 67.964844 1540186262.5403
MEM 68.222656 1540186262.6407
MEM 68.738281 1540186262.7412
MEM 68.996094 1540186262.8416
MEM 69.769531 1540186262.9421
MEM 70.027344 1540186263.0425
MEM 70.800781 1540186263.1431
MEM 71.058594 1540186263.2435
MEM 71.574219 1540186263.3440
MEM 72.089844 1540186263.4444
